ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,Age (x),Age interval (n),"Central death rate m(x,n)","Probability of dying q(x,n)","Probability of surviving p(x,n)",Number of survivors l(x),"Number of deaths d(x,n)","Number of person-years lived L(x,n)","Survival ratio S(x,n)",Person-years lived T(x),Expectation of life e(x),"Average number of years lived a(x,n)"
VN,704,Country/Area,920,1950,0,1,0.10028,0.09381,0.90619,  100 000,9380.8,93547.9,0.88072, 4 804 067,48.04,0.31
VN,704,Country/Area,920,1950,1,4,0.01932,0.07394,0.92606,  90 619,6700,346812.5,0.93408, 4 710 519,51.98,1.66
VN,704,Country/Area,920,1950,5,5,0.00694,0.03403,0.96597,  83 919,2855.5,411333.9,0.97587, 4 363 707,52,2.11
VN,704,Country/Area,920,1950,10,5,0.00386,0.01909,0.98091,  81 064,1547.7,401409.8,0.97734, 3 952 373,48.76,2.47
VN,704,Country/Area,920,1950,15,5,0.00598,0.02949,0.97051,  79 516,2344.8,392315.9,0.96054, 3 550 963,44.66,2.75
VN,704,Country/Area,920,1950,20,5,0.00979,0.04782,0.95218,  77 171,3690.1,376835.3,0.95003, 3 158 647,40.93,2.56
VN,704,Country/Area,920,1950,25,5,0.01045,0.05092,0.94908,  73 481,3741.7,358003.4,0.94871, 2 781 812,37.86,2.49
VN,704,Country/Area,920,1950,30,5,0.01062,0.05171,0.94829,  69 740,3606.3,339639.6,0.94727, 2 423 808,34.76,2.49
VN,704,Country/Area,920,1950,35,5,0.01116,0.05431,0.94569,  66 133,3591.7,321728.7,0.94297, 2 084 169,31.51,2.51
VN,704,Country/Area,920,1950,40,5,0.01237,0.06002,0.93998,  62 542,3753.6,303380.9,0.93694, 1 762 440,28.18,2.52
VN,704,Country/Area,920,1950,45,5,0.01381,0.06678,0.93322,  58 788,3925.9,284250.3,0.92684, 1 459 059,24.82,2.53
VN,704,Country/Area,920,1950,50,5,0.01689,0.08109,0.91891,  54 862,4448.8,263453.3,0.90888, 1 174 809,21.41,2.56
VN,704,Country/Area,920,1950,55,5,0.02167,0.10293,0.89707,  50 413,5189.1,239447.4,0.88004,  911 356,18.08,2.57
VN,704,Country/Area,920,1950,60,5,0.03031,0.14121,0.85879,  45 224,6386.1,210724.3,0.8313,  671 908,14.86,2.59
VN,704,Country/Area,920,1950,65,5,0.04479,0.20202,0.79798,  38 838,7846,175174.2,0.75656,  461 184,11.87,2.58
VN,704,Country/Area,920,1950,70,5,0.06847,0.2928,0.7072,  30 992,9074.4,132529,0.65613,  286 010,9.23,2.53
VN,704,Country/Area,920,1950,75,5,0.10285,0.40807,0.59193,  21 918,8943.8,86956.4,0.52183,  153 481,7,2.47
VN,704,Country/Area,920,1950,80,5,0.1617,0.56556,0.43444,  12 974,7337.5,45376.8,0.37009,  66 524,5.13,2.34
VN,704,Country/Area,920,1950,85,5,0.24009,0.71537,0.28463,  5 636,4032,16793.6,0.22898,  21 148,3.75,2.18
VN,704,Country/Area,920,1950,90,5,0.35348,0.8473,0.1527,  1 604,1359.3,3845.4,0.12394,  4 354,2.71,1.93
