ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,Age (x),Age interval (n),"Central death rate m(x,n)","Probability of dying q(x,n)","Probability of surviving p(x,n)",Number of survivors l(x),"Number of deaths d(x,n)","Number of person-years lived L(x,n)","Survival ratio S(x,n)",Person-years lived T(x),Expectation of life e(x),"Average number of years lived a(x,n)"
VN,704,Country/Area,920,1950,0,1,0.08878,0.08359,0.91641,  100 000,8359.3,94155.0,0.89302, 5 283 028,52.83,0.30
VN,704,Country/Area,920,1950,1,4,0.01748,0.06723,0.93277,  91 641,6160.6,352356.0,0.93884, 5 188 873,56.62,1.69
VN,704,Country/Area,920,1950,5,5,0.00679,0.03330,0.96670,  85 480,2846.6,419204.3,0.97630, 4 836 517,56.58,2.12
VN,704,Country/Area,920,1950,10,5,0.00371,0.01838,0.98162,  82 634,1518.8,409270.3,0.98096, 4 417 313,53.46,2.43
VN,704,Country/Area,920,1950,15,5,0.00424,0.02100,0.97900,  81 115,1703.5,401478.0,0.97667, 4 008 043,49.41,2.60
VN,704,Country/Area,920,1950,20,5,0.00514,0.02537,0.97463,  79 411,2014.8,392112.1,0.97269, 3 606 565,45.42,2.55
VN,704,Country/Area,920,1950,25,5,0.00597,0.02941,0.97059,  77 396,2276.5,381403.3,0.96849, 3 214 453,41.53,2.55
VN,704,Country/Area,920,1950,30,5,0.00683,0.03356,0.96644,  75 120,2521.3,369384.3,0.96410, 2 833 049,37.71,2.53
VN,704,Country/Area,920,1950,35,5,0.00789,0.03872,0.96128,  72 599,2811.4,356121.6,0.95778, 2 463 665,33.94,2.56
VN,704,Country/Area,920,1950,40,5,0.00930,0.04544,0.95456,  69 787,3171.1,341087.9,0.95230, 2 107 543,30.20,2.52
VN,704,Country/Area,920,1950,45,5,0.01036,0.05051,0.94949,  66 616,3364.5,324817.9,0.94369, 1 766 455,26.52,2.54
VN,704,Country/Area,920,1950,50,5,0.01314,0.06366,0.93634,  63 252,4026.9,306526.2,0.92709, 1 441 638,22.79,2.58
VN,704,Country/Area,920,1950,55,5,0.01748,0.08387,0.91613,  59 225,4966.9,284177.7,0.89953, 1 135 111,19.17,2.59
VN,704,Country/Area,920,1950,60,5,0.02574,0.12125,0.87875,  54 258,6578.6,255627.5,0.85126,  850 934,15.68,2.62
VN,704,Country/Area,920,1950,65,5,0.03984,0.18184,0.81816,  47 679,8670.1,217605.7,0.77699,  595 306,12.49,2.60
VN,704,Country/Area,920,1950,70,5,0.06264,0.27149,0.72851,  39 009,10590.4,169077.3,0.67728,  377 700,9.68,2.55
VN,704,Country/Area,920,1950,75,5,0.09592,0.38652,0.61348,  28 419,10984.4,114513.5,0.54433,  208 623,7.34,2.49
VN,704,Country/Area,920,1950,80,5,0.15115,0.54041,0.45959,  17 434,9421.7,62332.8,0.39544,  94 110,5.40,2.36
VN,704,Country/Area,920,1950,85,5,0.22407,0.68929,0.31071,  8 013,5523.1,24648.8,0.25167,  31 777,3.97,2.21
VN,704,Country/Area,920,1950,90,5,0.33257,0.82864,0.17136,  2 490,2063.0,6203.3,0.13864,  7 128,2.86,1.97
VN,704,Country/Area,920,1950,95,5,0.45192,0.91099,0.08901,   427,388.7,860.0,0.07000,   925,2.17,1.72
VN,704,Country/Area,920,1950,100,-1,0.58665,1.00000,0,   38,38.0,64.7,0,   65,1.70,1.70
VN,704,Country/Area,920,1951,0,1,0.08592,0.08100,0.91900,  100 000,8100.0,94273.3,0.89689, 5 357 879,53.58,0.29
VN,704,Country/Area,920,1951,1,4,0.01648,0.06351,0.93649,  91 900,5836.7,354172.5,0.94201, 5 263 606,57.28,1.70
VN,704,Country/Area,920,1951,5,5,0.00648,0.03183,0.96817,  86 063,2739.0,422440.1,0.97730, 4 909 433,57.04,2.12
VN,704,Country/Area,920,1951,10,5,0.00356,0.01764,0.98236,  83 324,1470.0,412852.1,0.98167, 4 486 993,53.85,2.44
VN,704,Country/Area,920,1951,15,5,0.00410,0.02028,0.97972,  81 854,1660.1,405284.6,0.97743, 4 074 141,49.77,2.60
VN,704,Country/Area,920,1951,20,5,0.00498,0.02458,0.97542,  80 194,1970.9,396136.2,0.97354, 3 668 857,45.75,2.55
VN,704,Country/Area,920,1951,25,5,0.00578,0.02850,0.97150,  78 223,2229.7,385653.5,0.96947, 3 272 720,41.84,2.55
VN,704,Country/Area,920,1951,30,5,0.00661,0.03250,0.96750,  75 994,2469.8,373879.9,0.96523, 2 887 067,37.99,2.53
VN,704,Country/Area,920,1951,35,5,0.00765,0.03753,0.96247,  73 524,2759.1,360881.0,0.95899, 2 513 187,34.18,2.56
VN,704,Country/Area,920,1951,40,5,0.00904,0.04423,0.95577,  70 765,3130.2,346082.9,0.95350, 2 152 306,30.41,2.53
VN,704,Country/Area,920,1951,45,5,0.01010,0.04930,0.95070,  67 635,3334.3,329989.9,0.94493, 1 806 223,26.71,2.55
VN,704,Country/Area,920,1951,50,5,0.01286,0.06235,0.93765,  64 300,4009.1,311817.4,0.92858, 1 476 233,22.96,2.58
VN,704,Country/Area,920,1951,55,5,0.01711,0.08215,0.91785,  60 291,4953.1,289546.2,0.90150, 1 164 416,19.31,2.60
VN,704,Country/Area,920,1951,60,5,0.02523,0.11900,0.88100,  55 338,6585.3,261025.1,0.85383,  874 870,15.81,2.62
VN,704,Country/Area,920,1951,65,5,0.03913,0.17887,0.82113,  48 753,8720.2,222870.1,0.78034,  613 845,12.59,2.60
VN,704,Country/Area,920,1951,70,5,0.06162,0.26770,0.73230,  40 033,10716.6,173914.3,0.68133,  390 974,9.77,2.55
VN,704,Country/Area,920,1951,75,5,0.09452,0.38206,0.61794,  29 316,11200.3,118493.5,0.54898,  217 060,7.40,2.49
VN,704,Country/Area,920,1951,80,5,0.14920,0.53577,0.46423,  18 116,9705.8,65050.8,0.39892,  98 567,5.44,2.37
VN,704,Country/Area,920,1951,85,5,0.22261,0.68692,0.31308,  8 410,5776.8,25950.3,0.25353,  33 516,3.99,2.21
VN,704,Country/Area,920,1951,90,5,0.33110,0.82735,0.17265,  2 633,2178.3,6579.1,0.13942,  7 566,2.87,1.98
VN,704,Country/Area,920,1951,95,5,0.45137,0.91075,0.08925,   455,414.0,917.2,0.07015,   986,2.17,1.73
VN,704,Country/Area,920,1951,100,-1,0.58634,1.00000,0,   41,40.6,69.2,0,   69,1.71,1.71
VN,704,Country/Area,920,1952,0,1,0.08308,0.07842,0.92158,  100 000,7842.0,94395.0,0.90077, 5 437 914,54.38,0.29
VN,704,Country/Area,920,1952,1,4,0.01547,0.05977,0.94023,  92 158,5508.5,355990.4,0.94521, 5 343 519,57.98,1.71
VN,704,Country/Area,920,1952,5,5,0.00617,0.03030,0.96970,  86 650,2625.5,425707.5,0.97834, 4 987 529,57.56,2.13
VN,704,Country/Area,920,1952,10,5,0.00340,0.01687,0.98313,  84 024,1417.3,416488.7,0.98242, 4 561 821,54.29,2.44
VN,704,Country/Area,920,1952,15,5,0.00394,0.01951,0.98049,  82 607,1611.9,409166.7,0.97824, 4 145 333,50.18,2.60
VN,704,Country/Area,920,1952,20,5,0.00480,0.02372,0.97628,  80 995,1921.2,400262.2,0.97445, 3 736 166,46.13,2.55
VN,704,Country/Area,920,1952,25,5,0.00558,0.02752,0.97248,  79 074,2176.3,390036.2,0.97053, 3 335 904,42.19,2.55
VN,704,Country/Area,920,1952,30,5,0.00637,0.03136,0.96864,  76 897,2411.3,378542.0,0.96645, 2 945 868,38.31,2.53
VN,704,Country/Area,920,1952,35,5,0.00738,0.03624,0.96376,  74 486,2699.1,365843.2,0.96031, 2 567 326,34.47,2.56
VN,704,Country/Area,920,1952,40,5,0.00877,0.04291,0.95709,  71 787,3080.6,351322.1,0.95483, 2 201 482,30.67,2.53
VN,704,Country/Area,920,1952,45,5,0.00982,0.04795,0.95205,  68 706,3294.6,335451.6,0.94633, 1 850 160,26.93,2.55
VN,704,Country/Area,920,1952,50,5,0.01254,0.06085,0.93915,  65 412,3980.5,317448.8,0.93027, 1 514 709,23.16,2.59
VN,704,Country/Area,920,1952,55,5,0.01668,0.08020,0.91980,  61 431,4926.8,295313.3,0.90375, 1 197 260,19.49,2.60
VN,704,Country/Area,920,1952,60,5,0.02464,0.11640,0.88360,  56 504,6577.3,266889.5,0.85682,  901 947,15.96,2.62
VN,704,Country/Area,920,1952,65,5,0.03829,0.17537,0.82463,  49 927,8755.5,228676.8,0.78432,  635 057,12.72,2.61
VN,704,Country/Area,920,1952,70,5,0.06041,0.26316,0.73684,  41 172,10834.7,179355.9,0.68620,  406 380,9.87,2.55
VN,704,Country/Area,920,1952,75,5,0.09285,0.37668,0.62332,  30 337,11427.4,123073.1,0.55467,  227 024,7.48,2.50
VN,704,Country/Area,920,1952,80,5,0.14679,0.52993,0.47007,  18 910,10020.7,68264.6,0.40349,  103 951,5.50,2.38
VN,704,Country/Area,920,1952,85,5,0.22057,0.68348,0.31652,  8 889,6075.3,27544.1,0.25654,  35 687,4.01,2.22
VN,704,Country/Area,920,1952,90,5,0.32838,0.82474,0.17526,  2 813,2320.4,7066.2,0.14147,  8 143,2.89,1.98
VN,704,Country/Area,920,1952,95,5,0.44849,0.90927,0.09073,   493,448.3,999.7,0.07126,  1 076,2.18,1.73
VN,704,Country/Area,920,1952,100,-1,0.58323,1.00000,0,   45,44.7,76.7,0,   77,1.71,1.71
VN,704,Country/Area,920,1953,0,1,0.08040,0.07599,0.92401,  100 000,7598.9,94513.4,0.90418, 5 496 657,54.97,0.28
VN,704,Country/Area,920,1953,1,4,0.01470,0.05687,0.94313,  92 401,5254.7,357575.5,0.94763, 5 402 144,58.46,1.71
VN,704,Country/Area,920,1953,5,5,0.00596,0.02929,0.97071,  87 146,2552.9,428414.0,0.97900, 5 044 569,57.89,2.13
VN,704,Country/Area,920,1953,10,5,0.00330,0.01638,0.98362,  84 594,1386.0,419417.9,0.98290, 4 616 155,54.57,2.44
VN,704,Country/Area,920,1953,15,5,0.00383,0.01900,0.98100,  83 208,1580.9,412247.0,0.97879, 4 196 737,50.44,2.60
VN,704,Country/Area,920,1953,20,5,0.00468,0.02314,0.97686,  81 627,1888.8,403502.1,0.97507, 3 784 490,46.36,2.55
VN,704,Country/Area,920,1953,25,5,0.00545,0.02687,0.97313,  79 738,2142.4,393441.1,0.97123, 3 380 987,42.40,2.55
VN,704,Country/Area,920,1953,30,5,0.00621,0.03060,0.96940,  77 595,2374.4,382123.6,0.96726, 2 987 546,38.50,2.53
VN,704,Country/Area,920,1953,35,5,0.00720,0.03539,0.96461,  75 221,2662.0,369613.2,0.96115, 2 605 423,34.64,2.56
VN,704,Country/Area,920,1953,40,5,0.00860,0.04208,0.95792,  72 559,3053.6,355254.9,0.95564, 2 235 810,30.81,2.53
VN,704,Country/Area,920,1953,45,5,0.00965,0.04715,0.95285,  69 505,3276.9,339495.5,0.94715, 1 880 555,27.06,2.55
VN,704,Country/Area,920,1953,50,5,0.01236,0.06000,0.94000,  66 229,3973.9,321552.6,0.93124, 1 541 059,23.27,2.59
VN,704,Country/Area,920,1953,55,5,0.01644,0.07906,0.92094,  62 255,4921.9,299443.4,0.90507, 1 219 506,19.59,2.60
VN,704,Country/Area,920,1953,60,5,0.02430,0.11489,0.88511,  57 333,6587.0,271017.0,0.85856,  920 063,16.05,2.62
VN,704,Country/Area,920,1953,65,5,0.03780,0.17334,0.82666,  50 746,8796.3,232684.3,0.78660,  649 046,12.79,2.61
VN,704,Country/Area,920,1953,70,5,0.05972,0.26058,0.73942,  41 949,10931.4,183029.7,0.68893,  416 362,9.93,2.56
VN,704,Country/Area,920,1953,75,5,0.09193,0.37372,0.62628,  31 018,11592.1,126094.8,0.55766,  233 332,7.52,2.50
VN,704,Country/Area,920,1953,80,5,0.14561,0.52708,0.47292,  19 426,10239.1,70318.3,0.40519,  107 237,5.52,2.38
VN,704,Country/Area,920,1953,85,5,0.22021,0.68297,0.31703,  9 187,6274.4,28492.2,0.25674,  36 919,4.02,2.22
VN,704,Country/Area,920,1953,90,5,0.32841,0.82484,0.17516,  2 912,2402.3,7315.0,0.14122,  8 427,2.89,1.98
VN,704,Country/Area,920,1953,95,5,0.44927,0.90975,0.09025,   510,464.1,1033.0,0.07078,  1 112,2.18,1.73
VN,704,Country/Area,920,1953,100,-1,0.58517,1.00000,0,   46,46.0,78.7,0,   79,1.71,1.71
VN,704,Country/Area,920,1954,0,1,0.07945,0.07513,0.92487,  100 000,7512.8,94556.1,0.90482, 5 523 780,55.24,0.28
VN,704,Country/Area,920,1954,1,4,0.01473,0.05698,0.94302,  92 487,5270.1,357855.2,0.94777, 5 429 224,58.70,1.71
VN,704,Country/Area,920,1954,5,5,0.00594,0.02922,0.97078,  87 217,2548.3,428779.7,0.97914, 5 071 369,58.15,2.13
VN,704,Country/Area,920,1954,10,5,0.00326,0.01615,0.98385,  84 669,1367.2,419836.1,0.98330, 4 642 589,54.83,2.43
VN,704,Country/Area,920,1954,15,5,0.00371,0.01839,0.98161,  83 302,1532.2,412823.6,0.97958, 4 222 753,50.69,2.60
VN,704,Country/Area,920,1954,20,5,0.00450,0.02224,0.97776,  81 769,1818.5,404391.8,0.97597, 3 809 930,46.59,2.55
VN,704,Country/Area,920,1954,25,5,0.00525,0.02593,0.97407,  79 951,2073.2,394675.4,0.97230, 3 405 538,42.60,2.55
VN,704,Country/Area,920,1954,30,5,0.00596,0.02937,0.97063,  77 878,2287.5,383742.7,0.96871, 3 010 862,38.66,2.53
VN,704,Country/Area,920,1954,35,5,0.00685,0.03368,0.96632,  75 590,2545.5,371735.0,0.96315, 2 627 120,34.75,2.56
VN,704,Country/Area,920,1954,40,5,0.00815,0.03996,0.96004,  73 045,2918.5,358035.6,0.95748, 2 255 385,30.88,2.54
VN,704,Country/Area,920,1954,45,5,0.00934,0.04565,0.95435,  70 126,3201.2,342810.5,0.94841, 1 897 349,27.06,2.56
VN,704,Country/Area,920,1954,50,5,0.01213,0.05895,0.94105,  66 925,3944.9,325124.0,0.93210, 1 554 539,23.23,2.59
VN,704,Country/Area,920,1954,55,5,0.01631,0.07848,0.92152,  62 980,4942.6,303048.3,0.90499, 1 229 415,19.52,2.60
VN,704,Country/Area,920,1954,60,5,0.02450,0.11578,0.88422,  58 037,6719.5,274256.7,0.85698,  926 366,15.96,2.63
VN,704,Country/Area,920,1954,65,5,0.03835,0.17563,0.82437,  51 318,9013.0,235032.8,0.78369,  652 110,12.71,2.61
VN,704,Country/Area,920,1954,70,5,0.06056,0.26366,0.73634,  42 305,11154.1,184193.8,0.68719,  417 077,9.86,2.55
VN,704,Country/Area,920,1954,75,5,0.09209,0.37421,0.62579,  31 151,11656.9,126576.2,0.55629,  232 883,7.48,2.50
VN,704,Country/Area,920,1954,80,5,0.14698,0.53090,0.46910,  19 494,10349.4,70413.5,0.39785,  106 307,5.45,2.39
VN,704,Country/Area,920,1954,85,5,0.22658,0.69412,0.30588,  9 145,6347.5,28014.0,0.24632,  35 893,3.93,2.21
VN,704,Country/Area,920,1954,90,5,0.33824,0.83445,0.16555,  2 797,2334.0,6900.5,0.13260,  7 879,2.82,1.96
VN,704,Country/Area,920,1954,95,5,0.46413,0.91710,0.08290,   463,424.7,915.0,0.06522,   979,2.11,1.70
VN,704,Country/Area,920,1954,100,-1,0.60136,1.00000,0,   38,38.4,63.8,0,   64,1.66,1.66
VN,704,Country/Area,920,1955,0,1,0.07354,0.06974,0.93026,  100 000,6973.8,94833.9,0.91342, 5 743 544,57.44,0.26
