ISO2 Alpha-code,SDMX code**,Type,Parent code,Year,Age (x),Age interval (n),"Central death rate m(x,n)","Probability of dying q(x,n)","Probability of surviving p(x,n)",Number of survivors l(x),"Number of deaths d(x,n)","Number of person-years lived L(x,n)","Survival ratio S(x,n)",Person-years lived T(x),Expectation of life e(x),"Average number of years lived a(x,n)"
VN,704,Country/Area,920,1950,0,1,0.11121,0.10350,0.89650,  100 000,10350.2,93065.4,0.86920, 4 386 979,43.87,0.33
VN,704,Country/Area,920,1950,1,4,0.02114,0.08054,0.91946,  89 650,7220.6,341535.7,0.92916, 4 293 914,47.90,1.64
VN,704,Country/Area,920,1950,5,5,0.00710,0.03476,0.96524,  82 429,2865.3,403816.0,0.97544, 3 952 378,47.95,2.09
VN,704,Country/Area,920,1950,10,5,0.00400,0.01981,0.98019,  79 564,1576.3,393898.1,0.97372, 3 548 562,44.60,2.51
VN,704,Country/Area,920,1950,15,5,0.00772,0.03798,0.96202,  77 988,2961.6,383545.8,0.94456, 3 154 664,40.45,2.84
VN,704,Country/Area,920,1950,20,5,0.01450,0.06999,0.93001,  75 026,5251.4,362281.1,0.92759, 2 771 119,36.94,2.55
VN,704,Country/Area,920,1950,25,5,0.01500,0.07222,0.92778,  69 775,5039.3,336047.1,0.92928, 2 408 837,34.52,2.45
VN,704,Country/Area,920,1950,30,5,0.01437,0.06932,0.93068,  64 735,4487.6,312282.6,0.93090, 2 072 790,32.02,2.46
VN,704,Country/Area,920,1950,35,5,0.01441,0.06953,0.93047,  60 248,4189.3,290704.9,0.92841, 1 760 508,29.22,2.49
VN,704,Country/Area,920,1950,40,5,0.01546,0.07443,0.92557,  56 058,4172.6,269894.4,0.92163, 1 469 803,26.22,2.51
VN,704,Country/Area,920,1950,45,5,0.01735,0.08318,0.91682,  51 886,4315.7,248743.4,0.90959, 1 199 908,23.13,2.52
VN,704,Country/Area,920,1950,50,5,0.02087,0.09924,0.90076,  47 570,4720.9,226255.7,0.88963,  951 165,20.00,2.54
VN,704,Country/Area,920,1950,55,5,0.02627,0.12339,0.87661,  42 849,5287.1,201283.5,0.85878,  724 909,16.92,2.55
VN,704,Country/Area,920,1950,60,5,0.03551,0.16341,0.83659,  37 562,6138.2,172858.2,0.80858,  523 626,13.94,2.56
